"id";"order_id";"product_id";"quantity";"unit_price";"discount";"status_id";"date_allocated";"purchase_order_id";"inventory_id"
27;30;34;100.0;14.0;0.0;2;"";96;83
28;30;80;30.0;3.5;0.0;2;"";0;63
29;31;7;10.0;30.0;0.0;2;"";0;64
30;31;51;10.0;53.0;0.0;2;"";0;65
31;31;80;10.0;3.5;0.0;2;"";0;66
32;32;1;15.0;18.0;0.0;2;"";0;67
33;32;43;20.0;46.0;0.0;2;"";0;68
34;33;19;30.0;9.2;0.0;2;"";97;81
35;34;19;20.0;9.2;0.0;2;"";0;69
36;35;48;10.0;12.75;0.0;2;"";0;70
37;36;41;200.0;9.65;0.0;2;"";98;79
38;37;8;17.0;40.0;0.0;2;"";0;71
39;38;43;300.0;46.0;0.0;2;"";99;77
40;39;48;100.0;12.75;0.0;2;"";100;75
41;40;81;200.0;2.99;0.0;2;"";101;73
42;41;43;300.0;46.0;0.0;1;"";102;104
43;42;6;10.0;25.0;0.0;2;"";0;84
44;42;4;10.0;22.0;0.0;2;"";0;85
45;42;19;10.0;9.2;0.0;2;"";103;110
46;43;80;20.0;3.5;0.0;1;"";0;86
47;43;81;50.0;2.99;0.0;1;"";0;87
48;44;1;25.0;18.0;0.0;1;"";0;88
49;44;43;25.0;46.0;0.0;1;"";0;89
50;44;81;25.0;2.99;0.0;1;"";0;90
51;45;41;50.0;9.65;0.0;2;"";104;116
52;45;40;50.0;18.4;0.0;2;"";0;91
53;46;57;100.0;19.5;0.0;2;"";105;101
54;46;72;50.0;34.8;0.0;2;"";106;114
55;47;34;300.0;14.0;0.0;2;"";107;108
56;48;8;25.0;40.0;0.0;2;"";108;106
57;48;19;25.0;9.2;0.0;2;"";109;112
59;50;21;20.0;10.0;0.0;2;"";0;92
60;51;5;25.0;21.35;0.0;2;"";0;93
61;51;41;30.0;9.65;0.0;2;"";0;94
62;51;40;30.0;18.4;0.0;2;"";0;95
66;56;48;10.0;12.75;0.0;2;"";111;99
67;55;34;87.0;14.0;0.0;2;"";0;117
68;79;7;30.0;30.0;0.0;2;"";0;119
69;79;51;30.0;53.0;0.0;2;"";0;118
70;78;17;40.0;39.0;0.0;2;"";0;120
71;77;6;90.0;25.0;0.0;2;"";0;121
72;76;4;30.0;22.0;0.0;2;"";0;122
73;75;48;40.0;12.75;0.0;2;"";0;123
74;74;48;40.0;12.75;0.0;2;"";0;124
75;73;41;10.0;9.65;0.0;2;"";0;125
76;72;43;5.0;46.0;0.0;2;"";0;126
77;71;40;40.0;18.4;0.0;2;"";0;127
78;70;8;20.0;40.0;0.0;2;"";0;128
79;69;80;15.0;3.5;0.0;2;"";0;129
80;67;74;20.0;10.0;0.0;2;"";0;130
81;60;72;40.0;34.8;0.0;2;"";0;131
82;63;3;50.0;10.0;0.0;2;"";0;132
83;63;8;3.0;40.0;0.0;2;"";0;133
84;58;20;40.0;81.0;0.0;2;"";0;134
85;58;52;40.0;7.0;0.0;2;"";0;135
86;80;56;10.0;38.0;0.0;1;"";0;136
90;81;81;0.0;2.99;0.0;5;"";0;0
91;81;56;0.0;38.0;0.0;0;"";0;0
